Periode,Scope,Categorie,Onderdeel,Notitie 1,Notitie 2,Eenheid, Hoeveelheid , Conversiefactor ,MT_CO2,Overhead_perc,Overhead_MT_CO2,Uitvoering_perc,Uitvoering_MT_CO2,Bron,Toelichting,Nauwkeurigheid
Q4 14,1,Fuel,Gasverbruik,Hoogeveen,"52.7286160,6.4901000",m3 Aardgas,"25,794.50",1.825,47.07,39%,18.25,61%,28.82,Facturen,Overzicht energieverbruik Venko Groep,99%
Q4 14,1,Fuel,Gasverbruik,Hoogezand ,"53.1634740,6.7563200",m3 Aardgas,"56,605.00",1.825,103.3,2%,1.83,98%,101.48,Facturen,Overzicht energieverbruik Venko Groep,99%
Q4 14,1,Fuel,Gasverbruik,Arnhem,"51.9851030,5.8987300",m3 Aardgas,"1,032.50",1.825,1.88,100%,1.88,0%, -   ,Facturen,Overzicht energieverbruik Venko Groep,99%
Q4 14,1,Fuel,Gasverbruik,Den Helder,"52.9562810,4.7607970",m3 Aardgas,"44,974.00",1.825,82.08,4%,2.88,96%,79.19,Facturen,Overzicht energieverbruik Venko Groep,99%
Q4 14,1,Fuel,Gasverbruik,Kortemark,"51.0284500,3.0441090",Liter Propaan,"28,850.00",1.53,44.14,6%,2.64,94%,41.5,Facturen,Opgave Opmetaal,99%
Q4 14,1,Fuel,Machines en diversen,Diesel,,Liter Diesel,"40,170.02",3.135,125.93,0%, -   ,100%,125.93,Facturen,Opgave via Materieel Beheer,90%
Q4 14,1,Fuel,Machines en diversen,Benzine,,Liter Benzine,"2,916.06",2.78,8.11,0%, -   ,100%,8.11,Facturen,Opgave via Materieel Beheer,90%
Q4 14,1,Fuel,Machines en diversen,LPG,,Liter LPG,"10,650.90",1.86,19.81,0%, -   ,100%,19.81,Facturen,Opgave via Materieel Beheer,90%
Q4 14,1,Fuel,Machines en diversen,Acetyleen,,Liter Acetyleen,40,0.564,0.02,0%, -   ,0%, -   ,Schatting,Geschat verbruik door OS,50%
Q4 14,1,Fuel,Machines en diversen,Gasolie Kortemark,,Liter Gasolie,"18,911.00",3.185,60.23,0%, -   ,100%,60.23,Metingen,Overzicht energieverbruik Venko Groep,99%
